ID;NOME;EMAIL;DATA NASCIMENTO
1;Maria Silva;maria.silva@gmail.com;15/02/1985
2;João Santos;joao.santos@outlook.com;20/10/1990
3;Ana Pereira;ana.pereira@gmail.com;23/04/1983
4;Pedro Carvalho;pedro.carvalho@outlook.com;12/11/1988
5;Sofia Almeida;sofia.almeida@gmail.com;30/06/1992
6;Luis Martins;luis.martins@outlook.com;04/03/1979
7;Beatriz Ferreira;beatriz.ferreira@gmail.com;18/10/1987
8;Andre Santos ;andre.santos@outlook.com;20/10/1992
9;Carolina Oliveira;carolina.oliveira@gmail.com;26/12/1980
10;Diogo Rodrigues;diogo.rodrigues@outlook.com;20/10/1994
11;Mariana Sousa;mariana.sousa@gmail.com;14/01/1982
12;Guilherme Gomes;guilherme.gomes@outlook.com;20/10/1993
13;Inês Costa;ines.costa@gmail.com;01/06/1986
14;Tiago Fernandes;tiago.fernandes@outlook.com;20/10/1981
